controller,rise_time,settling_time,overshoot_percent,peak_value,steady_state_error,iae,ise
P,,,0.0,0.6666666666666663,0.3333333333333337,6.872222222222225,2.4282282282282304
PI,6.3500000000000005,15.55,0.0,0.990917183167102,0.009082816832898022,1.9234635045705413,0.4794409499986036
PID,6.250000000000001,15.4,0.0,0.9912136371133954,0.008786362886604615,1.925485584705024,0.49328628956989956
